CURRENCY_CODE|NUMERIC_CCY_CODE|CCY_NAME|NO_OF_DECIMALS
DZD|12|Dinar Algerien|2
JPY|392|Yen Japonais|0
MAD|504|Dirham Marocain|2
SAR|682|Ryal Saoudien|2
TDC|789|Dinar convertible tunisien|3
CNY|156|Yuan Chinois|2
TND|788|Dinar Tunisien|3
GBP|826|Livre Sterling|2
BHD|48|Dinar Bahraini|3
MRO|478|OUGUIYA (MAURITANIA)|2
USD|840|Dollar des Etats-Unis|2
AED|784|Dirham Emirats Arabe Unis|2
CAD|124|Dollar Canadien|2
DKK|208|Couronne Danoise|2
EUR|978|Euro|2
CHF|756|Franc Suisse|2
KWD|414|Dinar Koweitien|3
LYD|434|Dinar lybien|3
MRU|929|Ouguiya Mauritanien|2
QAR|634|Ryal Qatari|2
NOK|578|Couronne Norvegienne|2
SEK|752|Couronne Suedoise|2
